signal,trend,composite,tech_score,emotion_score,rsi,macd,bb_position,fear_greed,price_change_24h_pct,close,timestamp
SELL,bearish,38,49,18,30.57995715054642,-558.0362490434272,0.31646810634405387,73,-3.492260855805307,64282.01,2024-04-25 03:00:00
NEUTRAL,bearish,47,64,18,38.20125978118183,-531.1667877669752,0.3496097436155242,74,-3.9846137774594115,64337.99,2024-04-25 04:00:00
NEUTRAL,bearish,47,63,18,44.12332284874512,-513.2063062795423,0.33743771601595596,75,-3.763688831627632,64223.36,2024-04-25 05:00:00
NEUTRAL,bearish,47,63,18,41.94897862530903,-488.1297318232391,0.3746139993096141,75,-3.7291477795318384,64288.0,2024-04-25 06:00:00
NEUTRAL,bearish,47,64,18,36.976663558313646,-484.45937027686887,0.2952100896128584,75,-3.921468868047706,64017.99,2024-04-25 07:00:00
NEUTRAL,bearish,46,62,18,46.63992580917531,-481.58385202513455,0.26187418868014267,76,-3.8855478229999574,63948.78,2024-04-25 08:00:00
NEUTRAL,bearish,46,62,18,49.80070507524385,-472.467547388871,0.2365382197510703,76,-3.6162939432399233,63966.02,2024-04-25 09:00:00
NEUTRAL,bearish,47,64,18,38.785025701360595,-500.1468238432062,-0.10042712441037402,75,-4.4710814401137995,63462.01,2024-04-25 10:00:00
NEUTRAL,bearish,47,63,18,41.027410964366574,-484.28657805851253,0.23602055273378283,75,-4.071245481551267,63861.23,2024-04-25 11:00:00
SELL,bearish,36,47,18,39.34739225542234,-500.75599713819975,-0.028108052835873688,75,-4.40552668137788,63429.82,2024-04-25 12:00:00
SELL,bearish,36,47,18,35.33417402268179,-508.0205733728508,0.003472205533556826,75,-3.9755058626153805,63428.97,2024-04-25 13:00:00
SELL,bearish,42,56,18,28.374624139888212,-511.4335539171152,0.04567617344409872,75,-2.8357388727037747,63384.96,2024-04-25 14:00:00
NEUTRAL,bearish,49,67,18,51.143276270432395,-448.37200244703854,0.5759248778881042,74,-0.7338944323109775,64135.94,2024-04-25 15:00:00
NEUTRAL,bearish,49,67,18,52.38501214883131,-369.1648951420357,0.7751595882921811,74,-0.5440754344269938,64445.45,2024-04-25 16:00:00
NEUTRAL,bearish,50,68,18,56.41273459461165,-282.27596611227636,0.9181869603786683,74,-0.28582449509912955,64704.0,2024-04-25 17:00:00
NEUTRAL,bearish,51,70,18,55.76908249210361,-210.33762039252179,0.8772004389606768,74,0.9123452446892832,64712.1,2024-04-25 18:00:00
NEUTRAL,neutral,51,70,18,58.279977867336456,-148.78583818596235,0.8636706981431006,74,1.205216451278801,64747.11,2024-04-25 19:00:00
NEUTRAL,neutral,51,70,18,58.04838345587172,-95.10229556616832,0.8706489825913618,74,1.0673685852441217,64794.29,2024-04-25 20:00:00
NEUTRAL,bearish,49,67,18,61.691264917728944,-58.68194399150525,0.7941818114384835,75,0.4823649672349273,64710.01,2024-04-25 21:00:00
NEUTRAL,bearish,50,68,18,60.91306712214864,-38.01594838182791,0.7243534226727721,74,0.790985396904631,64602.99,2024-04-25 22:00:00
NEUTRAL,bearish,51,69,18,58.628167973054104,-29.739559247384022,0.662250340484804,74,0.3247026462604552,64498.34,2024-04-25 23:00:00
