No,窗口开始 (ET),结果,开盘价 ($),结算价 ($),成交量 ($)
1,04-11 05:05:00,Up,72907.43,72925.56,101216.69
2,04-11 05:10:00,Down,72925.56,72840.59,78206.79
3,04-11 05:15:00,Down,72840.59,72837.23,102654.15
4,04-11 05:20:00,Up,72837.23,72876.74,75786.13
5,04-11 05:25:00,Up,72876.74,72898.26,77057.18
6,04-11 05:30:00,Down,72898.26,72892.89,75881.40
7,04-11 05:35:00,Down,72892.89,72838.78,63695.29
8,04-11 05:40:00,Down,72838.78,72810.82,96929.55
9,04-11 05:45:00,Up,72810.82,72813.34,89980.64
10,04-11 05:50:00,Up,72813.34,72854.80,51155.10
11,04-11 05:55:00,Up,72854.80,72869.95,107869.07
12,04-11 06:00:00,Up,72869.95,72870.88,97615.06
13,04-11 06:05:00,Up,72870.88,72908.23,72100.29
14,04-11 06:10:00,Down,72908.23,72897.07,67793.48
15,04-11 06:15:00,Down,72897.07,72872.51,105453.15
16,04-11 06:20:00,Up,72872.51,72894.88,67262.14
17,04-11 06:25:00,Down,72894.88,72861.30,82850.04
18,04-11 06:30:00,Up,72861.30,72866.98,73725.80
19,04-11 06:35:00,Up,72866.98,72876.38,61766.55
20,04-11 06:40:00,Up,72876.38,72880.04,83624.76
21,04-11 06:45:00,Up,72880.04,72881.73,79181.17
22,04-11 06:50:00,Up,72881.73,72937.85,67904.52
23,04-11 06:55:00,Down,72937.85,72937.40,86095.44
24,04-11 07:00:00,Up,72937.40,72952.18,81949.48
25,04-11 07:05:00,Down,72952.18,72941.69,107873.06
26,04-11 07:10:00,Up,72941.69,72950.45,105541.07
27,04-11 07:15:00,Down,72950.45,72923.58,74977.67
28,04-11 07:20:00,Down,72923.58,72849.59,71818.67
29,04-11 07:25:00,Up,72849.59,72892.08,69714.42
30,04-11 07:30:00,Up,72892.08,72923.58,74441.53
31,04-11 07:35:00,Down,72923.58,72911.89,92339.81
32,04-11 07:40:00,Up,72911.89,72989.88,62542.95
33,04-11 07:45:00,Down,72989.88,72985.01,89436.02
34,04-11 07:50:00,Down,72985.01,72955.56,80857.99
35,04-11 07:55:00,Up,72955.56,72967.23,91052.76
36,04-11 08:00:00,Down,72967.23,72843.08,109259.19
37,04-11 08:05:00,Down,72843.08,72784.18,85798.27
38,04-11 08:10:00,Down,72784.18,72633.93,145346.85
39,04-11 08:15:00,Up,72633.93,72789.47,75343.45
40,04-11 08:20:00,Down,72789.47,72702.92,84662.93
41,04-11 08:25:00,Down,72702.92,72642.66,87853.55
42,04-11 08:30:00,Down,72642.66,72626.86,97370.28
43,04-11 08:35:00,Up,72626.86,72660.07,81576.23
44,04-11 08:40:00,Up,72660.07,72697.23,95484.38
45,04-11 08:45:00,Up,72697.23,72726.44,85464.22
46,04-11 08:50:00,Down,72726.44,72697.86,83143.28
47,04-11 08:55:00,Down,72697.86,72685.31,97574.73
48,04-11 09:00:00,Up,72685.31,72697.51,94748.28
49,04-11 09:05:00,Up,72697.51,72745.96,89021.20
50,04-11 09:10:00,Down,72745.96,72731.99,68641.07
51,04-11 09:15:00,Up,72731.99,72751.93,81977.41
52,04-11 09:20:00,Up,72751.93,72767.61,126112.44
53,04-11 09:25:00,Down,72767.61,72741.03,67529.59
54,04-11 09:30:00,Down,72741.03,72728.28,95221.49
55,04-11 09:35:00,Down,72728.28,72663.79,107978.47
56,04-11 09:40:00,Up,72663.79,72680.82,85132.31
57,04-11 09:45:00,Down,72680.82,72667.64,118516.81
58,04-11 09:50:00,Up,72667.64,72743.32,72700.64
59,04-11 09:55:00,Down,72743.32,72726.67,111631.79
60,04-11 10:00:00,Up,72726.67,72736.26,120090.69
61,04-11 10:05:00,Down,72736.26,72716.22,74095.50
62,04-11 10:10:00,Up,72716.22,72731.14,77162.68
63,04-11 10:15:00,Up,72731.14,72829.03,121993.13
64,04-11 10:20:00,Down,72829.03,72795.51,63842.62
65,04-11 10:25:00,Down,72795.51,72785.49,183961.48
66,04-11 10:30:00,Up,72785.49,72810.03,76923.89
67,04-11 10:35:00,Up,72810.03,72815.00,104565.10
68,04-11 10:40:00,Down,72815.00,72795.11,86097.10
69,04-11 10:45:00,Down,72795.11,72785.22,247331.08
70,04-11 10:50:00,Up,72785.22,72854.04,85556.54
71,04-11 10:55:00,Up,72854.04,72885.85,95025.78
72,04-11 11:00:00,Up,72885.85,72886.29,197349.93
73,04-11 11:05:00,Down,72886.29,72873.47,82073.93
74,04-11 11:10:00,Up,72873.47,72904.74,66769.68
75,04-11 11:15:00,Up,72904.74,72937.76,90720.06
76,04-11 11:20:00,Down,72937.76,72887.83,59007.48
77,04-11 11:25:00,Up,72887.83,72909.81,77350.91
78,04-11 11:30:00,Down,72909.81,72892.02,78704.39
79,04-11 11:35:00,Up,72892.02,72953.21,71430.12
80,04-11 11:40:00,Up,72953.21,73131.28,132309.27
81,04-11 11:45:00,Up,73131.28,73188.60,132909.12
82,04-11 11:50:00,Down,73188.60,73106.44,108352.99
83,04-11 11:55:00,Down,73106.44,73063.62,102709.83
84,04-11 12:00:00,Down,73063.62,73056.57,106465.37
85,04-11 12:05:00,Down,73056.57,73028.21,81841.33
86,04-11 12:10:00,Up,73028.21,73036.25,108632.75
87,04-11 12:15:00,Down,73036.25,73010.80,83935.63
88,04-11 12:20:00,Up,73010.80,73124.74,74641.49
89,04-11 12:25:00,Down,73124.74,73101.36,77489.16
90,04-11 12:30:00,Up,73101.36,73187.17,97060.85
91,04-11 12:35:00,Down,73187.17,73151.09,86832.81
92,04-11 12:40:00,Up,73151.09,73175.99,81453.62
93,04-11 12:45:00,Down,73175.99,73122.05,99075.38
94,04-11 12:50:00,Down,73122.05,73106.37,69078.92
95,04-11 12:55:00,Up,73106.37,73117.68,95816.61
96,04-11 13:00:00,Down,73117.68,73072.94,106988.46
97,04-11 13:05:00,Up,73072.94,73117.57,76890.16
98,04-11 13:10:00,Up,73117.57,73141.55,92709.66
99,04-11 13:15:00,Up,73141.55,73203.36,74659.38
100,04-11 13:20:00,Up,73203.36,73222.37,95355.58
101,04-11 13:25:00,Up,73222.37,73224.74,103588.15
102,04-11 13:30:00,Up,73224.74,73314.51,119973.40
103,04-11 13:35:00,Up,73314.51,73612.51,271218.79
104,04-11 13:40:00,Down,73612.51,73489.16,102887.40
105,04-11 13:45:00,Up,73489.16,73574.97,128413.99
106,04-11 13:50:00,Down,73574.97,73540.90,101483.89
107,04-11 13:55:00,Up,73540.90,73576.05,77457.47
108,04-11 14:00:00,Down,73576.05,73559.67,104848.33
109,04-11 14:05:00,Up,73559.67,73729.04,120010.16
110,04-11 14:10:00,Down,73729.04,73596.30,107758.97
111,04-11 14:15:00,Down,73596.30,73562.78,96105.55
112,04-11 14:20:00,Down,73562.78,73547.82,79643.39
113,04-11 14:25:00,Up,73547.82,73645.96,60684.59
114,04-11 14:30:00,Up,73645.96,73727.47,108411.68
115,04-11 14:35:00,Down,73727.47,73690.74,94339.09
116,04-11 14:40:00,Up,73690.74,73719.13,75155.83
117,04-11 14:45:00,Down,73719.13,73671.36,83434.11
118,04-11 14:50:00,Up,73671.36,73676.68,97679.43
119,04-11 14:55:00,Up,73676.68,73706.88,76770.86
120,04-11 15:00:00,Down,73706.88,73562.11,79817.52
121,04-11 15:05:00,Up,73562.11,73615.86,82764.14
122,04-11 15:10:00,Down,73615.86,73524.61,87392.41
123,04-11 15:15:00,Down,73524.61,73486.31,91000.97
124,04-11 15:20:00,Down,73486.31,73444.22,80148.00
125,04-11 15:25:00,Down,73444.22,73443.14,93698.85
126,04-11 15:30:00,Down,73443.14,73280.79,219850.19
127,04-11 15:35:00,Up,73280.79,73332.55,104986.74
128,04-11 15:40:00,Up,73332.55,73384.81,81782.33
129,04-11 15:45:00,Up,73384.81,73436.01,85603.04
130,04-11 15:50:00,Down,73436.01,73407.90,109474.60
131,04-11 15:55:00,Down,73407.90,73320.86,69638.77
132,04-11 16:00:00,Up,73320.86,73328.14,131976.16
133,04-11 16:05:00,Up,73328.14,73433.46,83483.08
134,04-11 16:10:00,Up,73433.46,73443.99,109500.33
135,04-11 16:15:00,Down,73443.99,73425.52,89430.01
136,04-11 16:20:00,Down,73425.52,73368.70,105953.04
137,04-11 16:25:00,Up,73368.70,73369.34,69438.81
138,04-11 16:30:00,Up,73369.34,73435.51,77975.80
139,04-11 16:35:00,Up,73435.51,73447.21,89617.10
140,04-11 16:40:00,Up,73447.21,73465.56,93851.76
141,04-11 16:45:00,Down,73465.56,73441.76,113016.12
142,04-11 16:50:00,Up,73441.76,73524.68,98862.81
143,04-11 16:55:00,Down,73524.68,73454.79,87974.14
144,04-11 17:00:00,Up,73454.79,73502.60,200276.98
145,04-11 17:05:00,Up,73502.60,73557.14,95693.89
146,04-11 17:10:00,Down,73557.14,73526.59,69963.36
147,04-11 17:15:00,Down,73526.59,73517.08,104027.26
148,04-11 17:20:00,Down,73517.08,73477.91,86225.57
149,04-11 17:25:00,Down,73477.91,73475.18,115202.52
150,04-11 17:30:00,Down,73475.18,73344.57,129475.87
151,04-11 17:35:00,Down,73344.57,73312.86,119917.25
152,04-11 17:40:00,Up,73312.86,73356.86,86559.04
153,04-11 17:45:00,Up,73356.86,73375.40,199340.51
154,04-11 17:50:00,Down,73375.40,73291.76,80647.09
155,04-11 17:55:00,Up,73291.76,73397.24,142258.59
156,04-11 18:00:00,Down,73397.24,73135.76,162842.69
157,04-11 18:05:00,Down,73135.76,73021.90,181761.55
158,04-11 18:10:00,Up,73021.90,73073.13,131607.97
159,04-11 18:15:00,Up,73073.13,73147.48,124945.66
160,04-11 18:20:00,Up,73147.48,73229.23,161181.55
161,04-11 18:25:00,Down,73229.23,73167.93,108835.67
162,04-11 18:30:00,Down,73167.93,73142.73,100997.58
163,04-11 18:35:00,Up,73142.73,73160.82,102633.78
164,04-11 18:40:00,Down,73160.82,73099.41,77440.91
165,04-11 18:45:00,Down,73099.41,73094.46,122227.56
166,04-11 18:50:00,Down,73094.46,73038.30,108759.71
167,04-11 18:55:00,Up,73038.30,73071.43,100115.14
168,04-11 19:00:00,Down,73071.43,72925.24,140017.77
169,04-11 19:05:00,Up,72925.24,73034.31,173841.91
170,04-11 19:10:00,Down,73034.31,73032.46,143878.01
171,04-11 19:15:00,Down,73032.46,72990.31,91328.26
172,04-11 19:20:00,Up,72990.31,73107.74,125383.82
173,04-11 19:25:00,Down,73107.74,73105.39,135210.27
174,04-11 19:30:00,Up,73105.39,73107.57,91873.28
175,04-11 19:35:00,Down,73107.57,73050.78,115232.15
176,04-11 19:40:00,Down,73050.78,73046.82,196059.68
177,04-11 19:45:00,Down,73046.82,73043.34,129195.30
178,04-11 19:50:00,Up,73043.34,73074.74,64276.04
179,04-11 19:55:00,Up,73074.74,73102.83,114567.57
180,04-11 20:00:00,Down,73102.83,73071.13,126842.86
181,04-11 20:05:00,Up,73071.13,73094.40,99507.95
182,04-11 20:10:00,Up,73094.40,73106.26,164705.50
183,04-11 20:15:00,Down,73106.26,73090.92,97004.68
184,04-11 20:20:00,Down,73090.92,73073.60,114058.13
185,04-11 20:25:00,Down,73073.60,73043.74,87484.76
186,04-11 20:30:00,Down,73043.74,72684.73,104983.03
187,04-11 20:35:00,Down,72684.73,72265.99,203657.93
188,04-11 20:40:00,Down,72265.99,71753.00,128615.77
189,04-11 20:45:00,Down,71753.00,71438.77,129080.23
190,04-11 20:50:00,Up,71438.77,71697.67,138157.95
191,04-11 20:55:00,Down,71697.67,71667.65,110627.38
192,04-11 21:00:00,Down,71667.65,71461.33,125957.56
193,04-11 21:05:00,Up,71461.33,71628.22,108035.24
194,04-11 21:10:00,Up,71628.22,71808.50,185429.80
195,04-11 21:15:00,Up,71808.50,71869.61,111048.39
196,04-11 21:20:00,Down,71869.61,71781.73,96632.04
197,04-11 21:25:00,Up,71781.73,71803.26,87250.96
198,04-11 21:30:00,Up,71803.26,71918.92,85538.30
199,04-11 21:35:00,Down,71918.92,71865.73,68200.57
200,04-11 21:40:00,Up,71865.73,71914.42,83044.77
201,04-11 21:45:00,Down,71914.42,71846.24,90297.52
202,04-11 21:50:00,Down,71846.24,71814.07,135480.27
203,04-11 21:55:00,Down,71814.07,71789.37,96093.72
204,04-11 22:00:00,Up,71789.37,71858.87,89135.26
205,04-11 22:05:00,Down,71858.87,71761.83,90956.12
206,04-11 22:10:00,Up,71761.83,71791.59,128422.90
207,04-11 22:15:00,Down,71791.59,71703.18,80709.08
208,04-11 22:20:00,Down,71703.18,71655.25,93305.65
209,04-11 22:25:00,Up,71655.25,71751.98,92204.19
210,04-11 22:30:00,Down,71751.98,71684.18,111785.18
211,04-11 22:35:00,Up,71684.18,71690.65,102483.06
212,04-11 22:40:00,Up,71690.65,71694.70,61554.86
213,04-11 22:45:00,Down,71694.70,71676.37,97907.66
214,04-11 22:50:00,Up,71676.37,71678.50,85993.50
215,04-11 22:55:00,Down,71678.50,71620.66,97245.75
216,04-11 23:00:00,Up,71620.66,71662.13,109907.00
217,04-11 23:05:00,Down,71662.13,71599.84,124137.56
218,04-11 23:10:00,Up,71599.84,71614.38,151858.07
219,04-11 23:15:00,Down,71614.38,71547.13,112892.54
220,04-11 23:20:00,Up,71547.13,71555.95,100626.03
221,04-11 23:25:00,Down,71555.95,71540.12,138721.30
222,04-11 23:30:00,Up,71540.12,71581.42,117499.49
223,04-11 23:35:00,Down,71581.42,71579.40,80147.42
224,04-11 23:40:00,Up,71579.40,71586.85,135799.82
225,04-11 23:45:00,Down,71586.85,71586.83,170236.27
226,04-11 23:50:00,Down,71586.83,71509.23,135403.12
227,04-11 23:55:00,Down,71509.23,71491.16,90384.95
228,04-12 00:00:00,Up,71491.16,71522.19,106378.48
229,04-12 00:05:00,Up,71522.19,71581.15,113874.94
230,04-12 00:10:00,Down,71581.15,71533.81,96669.44
231,04-12 00:15:00,Up,71533.81,71545.45,142873.52
232,04-12 00:20:00,Up,71545.45,71672.92,147311.67
233,04-12 00:25:00,Up,71672.92,71694.00,92672.41
234,04-12 00:30:00,Down,71694.00,71677.39,224375.11
235,04-12 00:35:00,Up,71677.39,71685.21,125791.00
236,04-12 00:40:00,Down,71685.21,71674.09,57340.87
237,04-12 00:45:00,Up,71674.09,71766.10,115056.17
238,04-12 00:50:00,Down,71766.10,71724.06,130747.17
239,04-12 00:55:00,Up,71724.06,71727.71,85798.13
240,04-12 01:00:00,Up,71727.71,71736.27,85068.82
241,04-12 01:05:00,Down,71736.27,71728.02,109264.34
242,04-12 01:10:00,Up,71728.02,71764.50,90558.79
243,04-12 01:15:00,Down,71764.50,71715.75,98132.28
244,04-12 01:20:00,Up,71715.75,71727.88,92862.78
245,04-12 01:25:00,Up,71727.88,71731.44,133239.90
246,04-12 01:30:00,Down,71731.44,71680.52,52475.55
247,04-12 01:35:00,Up,71680.52,71681.84,68039.89
248,04-12 01:40:00,Down,71681.84,71680.91,51122.84
249,04-12 01:45:00,Up,71680.91,71681.00,84911.09
250,04-12 01:50:00,Up,71681.00,71685.14,109847.19
251,04-12 01:55:00,Down,71685.14,71683.64,102640.74
252,04-12 02:00:00,Down,71683.64,71626.35,92014.58
253,04-12 02:05:00,Up,71626.35,71658.08,100703.49
254,04-12 02:10:00,Down,71658.08,71652.33,111177.93
255,04-12 02:15:00,Up,71652.33,71655.49,105142.73
256,04-12 02:20:00,Down,71655.49,71642.54,93666.65
257,04-12 02:25:00,Up,71642.54,71654.39,87744.38
258,04-12 02:30:00,Up,71654.39,71668.31,75246.52
259,04-12 02:35:00,Up,71668.31,71740.93,151762.59
260,04-12 02:40:00,Up,71740.93,71765.61,105113.68
261,04-12 02:45:00,Down,71765.61,71721.47,89720.43
262,04-12 02:50:00,Up,71721.47,71758.51,67628.90
263,04-12 02:55:00,Down,71758.51,71696.74,93622.22
264,04-12 03:00:00,Down,71696.74,71682.77,194179.83
265,04-12 03:05:00,Up,71682.77,71685.47,206057.41
266,04-12 03:10:00,Down,71685.47,71673.97,81200.44
267,04-12 03:15:00,Down,71673.97,71662.99,178468.73
268,04-12 03:20:00,Up,71662.99,71725.37,62904.15
269,04-12 03:25:00,Down,71725.37,71724.60,62721.74
270,04-12 03:30:00,Down,71724.60,71718.31,63730.89
271,04-12 03:35:00,Up,71718.31,71765.92,79127.92
272,04-12 03:40:00,Down,71765.92,71765.80,117425.28
273,04-12 03:45:00,Down,71765.80,71644.46,73892.86
274,04-12 03:50:00,Down,71644.46,71632.86,63445.17
275,04-12 03:55:00,Up,71632.86,71654.62,62136.05
276,04-12 04:00:00,Down,71654.62,71592.89,70016.00
277,04-12 04:05:00,Up,71592.89,71595.01,72302.61
278,04-12 04:10:00,Up,71595.01,71615.84,58403.50
279,04-12 04:15:00,Up,71615.84,71625.64,57446.67
280,04-12 04:20:00,Up,71625.64,71637.68,66969.65
281,04-12 04:25:00,Down,71637.68,71620.48,99444.29
282,04-12 04:30:00,Up,71620.48,71646.77,52260.69
283,04-12 04:35:00,Up,71646.77,71647.48,162606.45
284,04-12 04:40:00,Down,71647.48,71601.67,58260.75
285,04-12 04:45:00,Down,71601.67,71552.29,69334.68
286,04-12 04:50:00,Up,71552.29,71569.57,58882.84
287,04-12 04:55:00,Down,71569.57,71560.68,74689.01
288,04-12 05:00:00,Down,71560.68,71558.27,67954.79
289,04-12 05:05:00,Up,71558.27,71708.06,59350.96
290,04-12 05:10:00,Down,71708.06,71652.71,52720.11
291,04-12 05:15:00,Up,71652.71,71669.31,48523.63
292,04-12 05:20:00,Up,71669.31,71674.49,51972.63
293,04-12 05:25:00,Down,71674.49,71634.57,61073.49
294,04-12 05:30:00,Down,71634.57,71616.18,59028.76
295,04-12 05:35:00,Down,71616.18,71561.07,62302.10
296,04-12 05:40:00,Down,71561.07,71547.37,68041.01
297,04-12 05:45:00,Down,71547.37,71521.26,83915.99
298,04-12 05:50:00,Down,71521.26,71409.91,112433.92
299,04-12 05:55:00,Up,71409.91,71478.75,107628.54
300,04-12 06:00:00,Down,71478.75,71469.54,109377.71
301,04-12 06:05:00,Down,71469.54,71461.60,85022.90
302,04-12 06:10:00,Up,71461.60,71538.57,83689.52
303,04-12 06:15:00,Up,71538.57,71539.98,85963.71
304,04-12 06:20:00,Down,71539.98,71508.39,106907.28
305,04-12 06:25:00,Up,71508.39,71543.37,62651.34
306,04-12 06:30:00,Down,71543.37,71444.65,74551.62
307,04-12 06:35:00,Up,71444.65,71463.79,69980.94
308,04-12 06:40:00,Up,71463.79,71473.55,57249.21
309,04-12 06:45:00,Down,71473.55,71469.98,84095.01
310,04-12 06:50:00,Up,71469.98,71500.12,41865.19
311,04-12 06:55:00,Down,71500.12,71493.33,67342.21
312,04-12 07:00:00,Down,71493.33,71420.25,70761.79
